Object Name,Catalog No.,Reference Star Object Name,Reference Star Catalog No.,hh,mm,ss,deg,','',Reference Epoch,Reference Star Magnitude (V)
HIP_11420,HIP 11420,2MASS_J02273456+5930387,2MASS J02273456+5930387,02,27,34.5602,59,30,38.711,J2000,12.78
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
HIP_23210,HIP 23210,2MASS_J04595624+4047393,2MASS J04595624+4047393,04,59,56.2494,40,47,39.364,J2000,11.52
2MASS_J04574007+4605331,2MASS J04574007+4605331,2MASS_J04571505+4606382,2MASS J04571505+4606382,04,57,15.0545,46,06,38.204,J2000,12.03
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
HD__25361,HD  25361,2MASS_J04045844+5843333,2MASS J04045844+5843333,04,04,58.4456,58,43,33.340,J2000,12.79
2MASS_J04073279+6019065,2MASS J04073279+6019065,2MASS_J04080744+6015432,2MASS J04080744+6015432,04,08,07.4421,60,15,43.282,J2000,10.8
2MASS_J04060899+5848314,2MASS J04060899+5848314,2MASS_J04055842+5847232,2MASS J04055842+5847232,04,05,58.4006,58,47,23.132,J2000,10.746
HD_276861,HD 276861,HD_276862,HD 276862,04,49,53.0288,42,13,05.563,J2000,10.44
--,--,--,--,--,--,--,--,--,--,--,--
HIP_20202,HIP 20202,2MASS_J04192368+4853147,2MASS J04192368+4853147,04,19,23.6737,48,53,14.722,J2000,12.4
HD__30282,HD  30282,2MASS_J04474489+3640596,2MASS J04474489+3640596,04,47,44.8932,36,40,59.719,J2000,10.48
HD_278195,HD 278195,HD_278196,HD 278196,05,28,46.1828,42,26,15.308,J2000,10.15
HD__31913,HD  31913,HD_277412,HD 277412,05,01,32.4144,39,55,31.256,J2000,10.22
HD_277622,HD 277622,HD_277618,HD 277618,05,12,55.2161,42,54,21.332,J2000,10.02
None,None,None,None,05,47,45.7009,31,57,18.391,J2000,10.91
--,--,--,--,--,--,--,--,--,--,--,--
